
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
6.100577110146e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0003189072595,Volt DC,10,T,2W,F,F,0.000000000
1.790440506966e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0148760136217,Volt DC,10,T,2W,F,F,0.961412120
3.010650573287e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0297948829830,Volt DC,10,T,2W,F,F,1.048604260
4.22885051421e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0447455048561,Volt DC,10,T,2W,F,F,1.135767200
5.491405659086e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0603395514190,Volt DC,10,T,2W,F,F,1.222911760
6.702373980261e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0753191113472,Volt DC,10,T,2W,F,F,1.310079780
7.90871524714e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0902696326375,Volt DC,10,T,2W,F,F,1.397220140
9.101577802539e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1052077338099,Volt DC,10,T,2W,F,F,1.484373480
1.02954538761e-06,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1201154217124,Volt DC,10,T,2W,F,F,1.571547920
1.13950522973e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.1353110969067,Volt DC,10,T,2W,F,F,1.949724540
1.265675905415e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.1509606391191,Volt DC,10,T,2W,F,F,2.021214940
1.385702262269e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.1659747362137,Volt DC,10,T,2W,F,F,2.092647520
1.505111981714e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.1809447407722,Volt DC,10,T,2W,F,F,2.164084160
1.624483616069e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.1959202438593,Volt DC,10,T,2W,F,F,2.235533800
1.743051257108e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.2108570486307,Volt DC,10,T,2W,F,F,2.306967520
1.861646410362e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.2258255481720,Volt DC,10,T,2W,F,F,2.378397500
1.979837179533e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.2408079355955,Volt DC,10,T,2W,F,F,2.449836920
2.103455699398e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.2564739584923,Volt DC,10,T,2W,F,F,2.521286000
