Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
8.773352044855e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000732641638,Volt DC,10,T,2W,F,F,0.000000000
1.132619137367e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1001125648618,Volt DC,10,T,2W,F,F,0.381505180
4.517767757117e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1999006271362,Volt DC,10,T,2W,F,F,0.763002840
-4.853596344279e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3000837862492,Volt DC,10,T,2W,F,F,1.144513080
5.703899852438e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3998387157917,Volt DC,10,T,2W,F,F,1.526025520
-4.65518561199e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.5000839233398,Volt DC,10,T,2W,F,F,1.907549700
-8.530792044992e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.5999246239662,Volt DC,10,T,2W,F,F,2.289071760
1.857663051164e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.7000443339348,Volt DC,10,T,2W,F,F,2.670584080
-2.015691363821e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.7998489737511,Volt DC,10,T,2W,F,F,3.052095260
8.046925625838e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9000275135040,Volt DC,10,T,2W,F,F,3.433622800
1.263553289776e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9998479485512,Volt DC,10,T,2W,F,F,3.815109240
1.334066329628e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,1.0999934673309,Volt DC,10,T,2W,F,F,4.196612260
1.303995106339e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,1.1998267173767,Volt DC,10,T,2W,F,F,4.578124180
