
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-1.951937743383e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000566944655,Volt DC,10,T,2W,F,F,0.000000000
1.63109907525e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0009457849665,Volt DC,10,T,2W,F,F,0.531541500
8.307961263387e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0019358379068,Volt DC,10,T,2W,F,F,1.063041620
3.330942119351e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0029314127751,Volt DC,10,T,2W,F,F,1.594537460
4.011017559757e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0039407955483,Volt DC,10,T,2W,F,F,2.126046700
-1.567842522476e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0049322322011,Volt DC,10,T,2W,F,F,2.657565740
-1.334274912779e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0059319469146,Volt DC,10,T,2W,F,F,3.189091860
-1.684868078389e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0069358050823,Volt DC,10,T,2W,F,F,3.720615780
-8.993226302545e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0079258596525,Volt DC,10,T,2W,F,F,4.252133080
3.226528419442e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0089103868231,Volt DC,10,T,2W,F,F,4.783641620
8.252967753641e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0099197719246,Volt DC,10,T,2W,F,F,5.315141780
2.199579823836e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0109056811780,Volt DC,10,T,2W,F,F,5.846675660
3.899773733107e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0119247334078,Volt DC,10,T,2W,F,F,6.378202500
1.231184876271e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0129037378356,Volt DC,10,T,2W,F,F,6.909711520
7.380900890475e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0140249710530,Volt DC,10,T,2W,F,F,7.441231200
9.436315617783e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0148907462135,Volt DC,10,T,2W,F,F,7.972739640
-5.748179709997e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0159056503326,Volt DC,10,T,2W,F,F,8.504264040
5.759990262533e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0169067438692,Volt DC,10,T,2W,F,F,9.035801940
2.943208454731e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0178995598108,Volt DC,10,T,2W,F,F,9.567330880
-1.335180160877e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0189020447433,Volt DC,10,T,2W,F,F,10.098853600
2.12509912445e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0199031457305,Volt DC,10,T,2W,F,F,10.630372340
3.060861286652e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0208918191493,Volt DC,10,T,2W,F,F,11.161898500
-1.254145398644e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0219053402543,Volt DC,10,T,2W,F,F,11.693416420
-2.597294081197e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0229036845267,Volt DC,10,T,2W,F,F,12.224945860
-3.068779822271e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0239061582834,Volt DC,10,T,2W,F,F,12.756471680
2.712121673076e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0249044969678,Volt DC,10,T,2W,F,F,13.287981540
-7.767959019078e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0259124971926,Volt DC,10,T,2W,F,F,13.819489440
-1.929661291866e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0269011668861,Volt DC,10,T,2W,F,F,14.351013780
4.755960382463e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0279133189470,Volt DC,10,T,2W,F,F,14.882529520
1.464038786037e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0288647059351,Volt DC,10,T,2W,F,F,15.414051780
-9.842559926809e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0298630408943,Volt DC,10,T,2W,F,F,15.945552680
-2.631948478604e-13,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0308682881296,Volt DC,10,T,2W,F,F,16.477056240
-1.60733266974e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0318693853915,Volt DC,10,T,2W,F,F,17.008565140
2.10583044058e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0328649617732,Volt DC,10,T,2W,F,F,17.540074200
1.031691550767e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0338605158031,Volt DC,10,T,2W,F,F,18.071586560
-7.783639184578e-13,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0348574891686,Volt DC,10,T,2W,F,F,18.603112580
-2.349454832073e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0358572080731,Volt DC,10,T,2W,F,F,19.134609360
-2.633494811111e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0368500277400,Volt DC,10,T,2W,F,F,19.666122380
-2.910406290968e-13,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0378593951464,Volt DC,10,T,2W,F,F,20.197628280
6.496175125603e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0388604998589,Volt DC,10,T,2W,F,F,20.729140700
1.143142698556e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0398408882320,Volt DC,10,T,2W,F,F,21.260664700
3.209127755199e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0408489033580,Volt DC,10,T,2W,F,F,21.792188080
2.062029583541e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0418417043984,Volt DC,10,T,2W,F,F,22.323695000
2.320920886034e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0428566150367,Volt DC,10,T,2W,F,F,22.855223620
1.207182531021e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0438618473709,Volt DC,10,T,2W,F,F,23.386728200
-3.890263979012e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0448325686157,Volt DC,10,T,2W,F,F,23.918246940
2.536010464127e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0458350330591,Volt DC,10,T,2W,F,F,24.449765300
2.034829943431e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0468403100967,Volt DC,10,T,2W,F,F,24.981274200
3.830164917867e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0478331036866,Volt DC,10,T,2W,F,F,25.512784640
1.933897660067e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0488425195217,Volt DC,10,T,2W,F,F,26.044291300
1.7800618618e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0498187392950,Volt DC,10,T,2W,F,F,26.575813640
7.714328308095e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0508295185864,Volt DC,10,T,2W,F,F,27.107348120
2.238782249864e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0518181622028,Volt DC,10,T,2W,F,F,27.638873900
-3.528253860949e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0528234094381,Volt DC,10,T,2W,F,F,28.170404020
9.141300563731e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0538134388626,Volt DC,10,T,2W,F,F,28.701915020
2.815838014147e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0548200830817,Volt DC,10,T,2W,F,F,29.233427680
2.223468457963e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0558115094900,Volt DC,10,T,2W,F,F,29.764940400
3.064469901795e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0568153746426,Volt DC,10,T,2W,F,F,30.296462440
2.258966798341e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0578122697771,Volt DC,10,T,2W,F,F,30.827984460
1.730639936914e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0588162094355,Volt DC,10,T,2W,F,F,31.359472540
2.356420093774e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0598200298846,Volt DC,10,T,2W,F,F,31.890982140
1.23920275083e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0608073510230,Volt DC,10,T,2W,F,F,32.422512180
1.496058485428e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0618043020368,Volt DC,10,T,2W,F,F,32.954021820
2.140634544623e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0628053992987,Volt DC,10,T,2W,F,F,33.485556100
1.373547022648e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0638009607792,Volt DC,10,T,2W,F,F,34.017054860
1.992367382186e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0648048073053,Volt DC,10,T,2W,F,F,34.548570980
9.377974091729e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0657949075103,Volt DC,10,T,2W,F,F,35.080094020
2.453873042263e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0667932182550,Volt DC,10,T,2W,F,F,35.611593160
2.21998860267e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0677998512983,Volt DC,10,T,2W,F,F,36.143099020
4.052912519481e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0688009411097,Volt DC,10,T,2W,F,F,36.674641200
6.802453565713e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0698006600142,Volt DC,10,T,2W,F,F,37.206150320
2.923731742821e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0707962438464,Volt DC,10,T,2W,F,F,37.737651000
3.361569703153e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0718042328954,Volt DC,10,T,2W,F,F,38.269137500
5.452045932774e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0728177726269,Volt DC,10,T,2W,F,F,38.800654620
1.508588046151e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0738050565124,Volt DC,10,T,2W,F,F,39.332179660
1.257996831705e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0748116746545,Volt DC,10,T,2W,F,F,39.863719380
8.591395823931e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0758114010096,Volt DC,10,T,2W,F,F,40.395216240
1.378419860892e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0767986848950,Volt DC,10,T,2W,F,F,40.926718420
2.674532643965e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0778205022216,Volt DC,10,T,2W,F,F,41.458236140
2.377999533398e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0788022503257,Volt DC,10,T,2W,F,F,41.989766680
5.939306338409e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0798144191504,Volt DC,10,T,2W,F,F,42.521273640
2.178223053317e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0808182731271,Volt DC,10,T,2W,F,F,43.052807180
-3.60659202156e-13,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0817959085107,Volt DC,10,T,2W,F,F,43.584317760
1.127132501916e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0827873051167,Volt DC,10,T,2W,F,F,44.115826260
1.372154907059e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0837994590402,Volt DC,10,T,2W,F,F,44.647334660
3.685247940144e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0848060473800,Volt DC,10,T,2W,F,F,45.178851500
3.670064686184e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0858085528016,Volt DC,10,T,2W,F,F,45.710390220
