Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,14783
Base Time Seconds,1719308507
Base Time Fractional,.369876080
Base Time,06/25/2024 09:41:47.369876080
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-7.783942379547e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345000000000000000000000.0000000000000,Volt DC,10000000000000,F,2W,F,F,0.000000000
-1.237782054631e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0000026747075,Volt DC,.01,F,2W,F,F,0.372231860
-7.372764176949e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345000000000000000000000.0000000000000,Volt DC,10000000000000,F,2W,F,F,1.217015340
-1.164517726693e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0000025473710,Volt DC,.01,F,2W,F,F,1.588838200
-3.604838205717e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345000000000000000000000.0000000000000,Volt DC,10000000000000,F,2W,F,F,2.314445220
-3.412462978858e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345000000000000000000000.0000000000000,Volt DC,10000000000000,F,2W,F,F,2.849553820
-3.181795937834e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345000000000000000000000.0000000000000,Volt DC,10000000000000,F,2W,F,F,3.384584520
-2.96381474918e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345000000000000000000000.0000000000000,Volt DC,10000000000000,F,2W,F,F,3.919620440
-1.0051257604e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0000024907604,Volt DC,.01,F,2W,F,F,4.291306200
-1.004734428989e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0000025615373,Volt DC,.01,F,2W,F,F,5.196770220
-6.45551168077e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345000000000000000000000.0000000000000,Volt DC,10000000000000,F,2W,F,F,5.919118020
-1.002995198007e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0000021228807,Volt DC,.01,F,2W,F,F,6.290803080
-8.969164855266e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345000000000000000000000.0000000000000,Volt DC,10000000000000,F,2W,F,F,6.550678020
