Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,1335
Base Time Seconds,1718111601
Base Time Fractional,.694113680
Base Time,06/11/2024 13:13:21.694113680
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
6.566018129206e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9989618062973,Volt DC,1,T,2W,F,F,0.000000000
6.523452356078e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9989976286888,Volt DC,1,T,2W,F,F,0.069336880
6.507473671036e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9990654587746,Volt DC,1,T,2W,F,F,0.138689600
6.496157567426e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9991196990013,Volt DC,1,T,2W,F,F,0.208017260
6.492248161294e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9991383552551,Volt DC,1,T,2W,F,F,0.277350540
6.490695625416e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9991406202316,Volt DC,1,T,2W,F,F,0.346675880
6.489788972885e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9991368651390,Volt DC,1,T,2W,F,F,0.415999380
6.473224090087e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9992413520813,Volt DC,1,T,2W,F,F,0.485326540
6.464752289048e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9992972612381,Volt DC,1,T,2W,F,F,0.554658220
6.456488677031e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9993136525154,Volt DC,1,T,2W,F,F,0.623986100
6.453535661421e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9993318915367,Volt DC,1,T,2W,F,F,0.693325280
6.457889867306e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9993191361427,Volt DC,1,T,2W,F,F,0.762665140
6.452973622117e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9993522763252,Volt DC,1,T,2W,F,F,0.832004980
6.444273736861e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9994049668312,Volt DC,1,T,2W,F,F,0.901331460
6.432858157268e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9994497895241,Volt DC,1,T,2W,F,F,0.970660900
6.425789678133e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9994809627533,Volt DC,1,T,2W,F,F,1.040003360
6.417722886454e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9994934797287,Volt DC,1,T,2W,F,F,1.109318660
6.408381381107e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9995384216309,Volt DC,1,T,2W,F,F,1.178645220
6.405147701116e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9995793700218,Volt DC,1,T,2W,F,F,1.247976400
6.394974860768e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9996160268784,Volt DC,1,T,2W,F,F,1.317311920
6.387106310513e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9996315836906,Volt DC,1,T,2W,F,F,1.386655620
6.376885153259e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9996878504753,Volt DC,1,T,2W,F,F,1.455970320
6.369074867507e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9997267723083,Volt DC,1,T,2W,F,F,1.525304740
6.363684690314e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9997513294220,Volt DC,1,T,2W,F,F,1.594632360
6.360559012819e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9997397065163,Volt DC,1,T,2W,F,F,1.663953040
6.358860815681e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9997786283493,Volt DC,1,T,2W,F,F,1.733301220
6.3503001968e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9997895956039,Volt DC,1,T,2W,F,F,1.802630620
6.341669944732e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9998131990433,Volt DC,1,T,2W,F,F,1.871948880
6.336959046394e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9998082518578,Volt DC,1,T,2W,F,F,1.941286180
6.329432267194e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9998516440392,Volt DC,1,T,2W,F,F,2.010601520
6.326109769361e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9998480081558,Volt DC,1,T,2W,F,F,2.079926920
6.323219992055e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9998940825462,Volt DC,1,T,2W,F,F,2.149255540
6.322191126173e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9998721480370,Volt DC,1,T,2W,F,F,2.218595500
6.314056122392e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9999135732651,Volt DC,1,T,2W,F,F,2.287926740
6.307340782996e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9999272227287,Volt DC,1,T,2W,F,F,2.357257280
6.299799792941e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9999299049377,Volt DC,1,T,2W,F,F,2.426573080
6.331598711995e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9996735453606,Volt DC,1,T,2W,F,F,2.495897980
6.391172036047e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9996207952499,Volt DC,1,T,2W,F,F,2.565232920
